x,y,space type,space status,to,object type,object name,object status
0,0,Plutus' Fields,none,plutus_fields,none,none,
0,4,portal,none,elder_growth,none,none,
1,1,outdoor,none,none,none,none,
1,2,outdoor,none,none,none,none,
1,3,outdoor,none,none,none,none,
1,4,outdoor,none,none,none,none,
1,5,outdoor,none,none,none,none,
1,6,outdoor,none,none,none,none,
1,7,outdoor,none,none,none,none,
1,8,outdoor,none,none,none,none,
1,9,outdoor,none,none,none,none,
1,10,outdoor,none,none,none,none,
1,11,outdoor,none,none,none,none,
1,12,outdoor,none,none,none,none,
1,13,outdoor,none,none,none,none,
1,14,outdoor,none,none,none,none,
1,15,outdoor,none,none,none,none,
2,1,outdoor,none,none,none,none,
2,2,outdoor,none,none,none,none,
2,3,outdoor,none,none,none,none,
2,4,outdoor,none,none,none,none,
2,5,outdoor,none,none,none,none,
2,6,outdoor,none,none,none,none,
2,7,outdoor,none,none,none,none,
2,8,outdoor,none,none,none,none,
2,9,outdoor,none,none,none,none,
2,10,outdoor,none,none,none,none,
2,11,outdoor,none,none,none,none,
2,12,outdoor,none,none,none,none,
2,13,outdoor,none,none,none,none,
2,14,outdoor,none,none,none,none,
2,15,outdoor,none,none,none,none,
3,1,outdoor,none,none,none,none,
3,2,outdoor,none,none,none,none,
3,3,outdoor,none,none,none,none,
3,4,outdoor,none,none,none,none,
3,5,outdoor,none,none,none,none,
3,6,outdoor,none,none,none,none,
3,7,outdoor,none,none,none,none,
3,8,outdoor,none,none,none,none,
3,9,outdoor,none,none,none,none,
3,10,outdoor,none,none,none,none,
3,11,outdoor,none,none,none,none,
3,12,outdoor,none,none,none,none,
3,13,outdoor,none,none,none,none,
3,14,outdoor,none,none,none,none,
3,15,outdoor,none,none,none,none,
4,1,outdoor,none,none,none,none,
4,2,outdoor,none,none,none,none,
4,3,outdoor,none,none,none,none,
4,4,outdoor,none,none,none,none,
4,5,outdoor,none,none,none,none,
4,6,outdoor,none,none,none,none,
4,7,outdoor,none,none,none,none,
4,8,outdoor,none,none,none,none,
4,9,outdoor,none,none,none,none,
4,10,outdoor,none,none,none,none,
4,11,outdoor,none,none,none,none,
4,12,outdoor,none,none,none,none,
4,13,outdoor,none,none,none,none,
4,14,outdoor,none,none,none,none,
4,15,outdoor,none,none,none,none,
5,1,outdoor,none,none,none,none,
5,2,outdoor,none,none,none,none,
5,3,outdoor,none,none,none,none,
5,4,outdoor,none,none,none,none,
5,5,outdoor,none,none,none,none,
5,6,outdoor,none,none,none,none,
5,7,outdoor,none,none,none,none,
5,8,outdoor,none,none,none,none,
5,9,outdoor,none,none,none,none,
5,10,outdoor,none,none,none,none,
5,11,outdoor,none,none,none,none,
5,12,outdoor,none,none,none,none,
5,13,outdoor,none,none,none,none,
5,14,outdoor,none,none,none,none,
5,15,outdoor,none,none,none,none,
6,1,outdoor,none,none,none,none,
6,2,outdoor,none,none,none,none,
6,3,outdoor,none,none,none,none,
6,4,outdoor,none,none,none,none,
6,5,outdoor,none,none,none,none,
6,6,outdoor,none,none,none,none,
6,7,outdoor,none,none,none,none,
6,8,outdoor,none,none,none,none,
6,9,outdoor,none,none,none,none,
6,10,outdoor,none,none,none,none,
6,11,outdoor,none,none,none,none,
6,12,outdoor,none,none,none,none,
6,13,outdoor,none,none,none,none,
6,14,outdoor,none,none,none,none,
6,15,outdoor,none,none,none,none,
7,1,outdoor,none,none,none,none,
7,2,outdoor,none,none,none,none,
7,3,outdoor,none,none,none,none,
7,4,outdoor,none,none,none,none,
7,5,outdoor,none,none,none,none,
7,6,outdoor,none,none,none,none,
7,7,outdoor,none,none,none,none,
7,8,outdoor,none,none,none,none,
7,9,impass,none,none,none,none,
7,10,impass,none,none,none,none,
7,11,impass,none,none,none,none,
7,12,outdoor,none,none,none,none,
7,13,impass,none,none,none,none,
7,14,impass,none,none,none,none,
7,15,impass,none,none,none,none,
8,1,outdoor,none,none,none,none,
8,2,outdoor,none,none,none,none,
8,3,outdoor,none,none,none,none,
8,4,outdoor,none,none,none,none,
8,5,outdoor,none,none,none,none,
8,6,outdoor,none,none,none,none,
8,7,outdoor,none,none,none,none,
8,8,impass,none,none,none,none,
8,9,impass,none,none,none,none,
8,10,outdoor,none,none,mob,Hen,n
8,11,outdoor,none,none,none,none,
8,12,outdoor,none,none,none,none,
8,13,impass,none,none,none,none,
8,14,outdoor,none,none,inanimate,Discarded Pendant,
8,15,outdoor,none,none,none,none,
9,1,outdoor,none,none,none,none,
9,2,outdoor,none,none,none,none,
9,3,outdoor,none,none,none,none,
9,4,outdoor,none,none,none,none,
9,5,outdoor,none,none,none,none,
9,6,outdoor,none,none,none,none,
9,7,impass,none,none,none,none,
9,8,impass,none,none,none,none,
9,9,outdoor,none,none,none,none,
9,10,outdoor,none,none,none,none,
9,11,outdoor,none,none,none,none,
9,12,outdoor,none,none,none,none,
9,13,impass,none,none,none,none,
9,14,outdoor,none,none,none,none,
9,15,outdoor,none,none,none,none,
10,1,outdoor,none,none,none,none,
10,2,outdoor,none,none,none,none,
10,3,outdoor,none,none,none,none,
10,4,outdoor,none,none,none,none,
10,5,outdoor,none,none,none,none,
10,6,outdoor,none,none,none,none,
10,7,impass,none,none,none,none,
10,8,outdoor,none,none,mob,Hen,n
10,9,outdoor,none,none,none,none,
10,10,outdoor,none,none,none,none,
10,11,outdoor,none,none,none,none,
10,12,outdoor,none,none,none,none,
10,13,outdoor,none,none,none,none,
10,14,outdoor,none,none,none,none,
10,15,outdoor,none,none,none,none,
11,1,outdoor,none,none,none,none,
11,2,outdoor,none,none,none,none,
11,3,outdoor,none,none,none,none,
11,4,outdoor,none,none,none,none,
11,5,outdoor,none,none,none,none,
11,6,outdoor,none,none,none,none,
11,7,impass,none,none,none,none,
11,8,outdoor,none,none,none,none,
11,9,outdoor,none,none,none,none,
11,10,outdoor,none,none,none,none,
11,11,outdoor,none,none,none,none,
11,12,outdoor,none,none,none,none,
11,13,outdoor,none,none,none,none,
11,14,outdoor,none,none,none,none,
11,15,outdoor,none,none,none,none,
11,1,outdoor,none,none,none,none,
12,2,outdoor,none,none,none,none,
12,3,outdoor,none,none,none,none,
12,4,outdoor,none,none,none,none,
12,5,outdoor,none,none,none,none,
12,6,outdoor,none,none,none,none,
12,7,impass,none,none,none,none,
12,8,outdoor,none,none,mob,Hen,n
12,9,outdoor,none,none,none,none,
12,10,outdoor,none,none,none,none,
12,11,outdoor,none,none,none,none,
12,12,outdoor,none,none,none,none,
12,13,outdoor,none,none,none,none,
12,14,outdoor,none,none,none,none,
12,15,outdoor,none,none,none,none,
13,1,outdoor,none,none,none,none,
13,2,outdoor,none,none,none,none,
13,3,outdoor,none,none,none,none,
13,4,outdoor,none,none,none,none,
13,5,outdoor,none,none,none,none,
13,6,outdoor,none,none,none,none,
13,7,impass,none,none,none,none,
13,8,outdoor,none,none,none,none,
13,9,outdoor,none,none,none,none,
13,10,outdoor,none,none,none,none,
13,11,outdoor,none,none,none,none,
13,12,outdoor,none,none,none,none,
13,13,outdoor,none,none,inanimate,Wheat,
13,14,outdoor,none,none,inanimate,Wheat,
13,15,outdoor,none,none,none,none,
14,1,outdoor,none,none,none,none,
14,2,outdoor,none,none,none,none,
14,3,outdoor,none,none,none,none,
14,4,outdoor,none,none,none,none,
14,5,outdoor,none,none,none,none,
14,6,outdoor,none,none,none,none,
14,7,impass,none,none,none,none,
14,8,outdoor,none,none,none,none,
14,9,outdoor,none,none,none,none,
14,10,outdoor,none,none,none,none,
14,11,outdoor,none,none,none,none,
14,12,outdoor,none,none,none,none,
14,13,outdoor,none,none,inanimate,Wheat,
14,14,outdoor,none,none,inanimate,Wheat,
14,15,outdoor,none,none,none,none,
15,1,outdoor,none,none,none,none,
15,2,outdoor,none,none,none,none,
15,3,outdoor,none,none,none,none,
15,4,outdoor,none,none,none,none,
15,5,outdoor,none,none,none,none,
15,6,outdoor,none,none,none,none,
15,7,impass,none,none,none,none,
15,8,impass,none,none,none,none,
15,9,outdoor,none,none,none,none,
15,10,outdoor,none,none,none,none,
15,11,outdoor,none,none,none,none,
15,12,impass,none,none,none,none,
15,13,impass,none,none,none,none,
15,14,impass,none,none,none,none,
15,15,impass,none,none,none,none,
16,2,outdoor,none,Elder Growth,none,none,
16,10,portal,none,plutus_shack,none,none,